time,G(i),H_sun,T2m,WS10m,Int
20180119:2010,0.0,0.0,9.12,1.03,0.0
20180119:2110,0.0,0.0,8.48,0.41,0.0
20180119:2210,0.0,0.0,7.04,0.97,0.0
20180119:2310,0.0,0.0,6.09,0.97,0.0
20180120:0010,0.0,0.0,4.54,1.24,0.0
20180120:0110,0.0,0.0,3.03,1.38,0.0
20180120:0210,0.0,0.0,3.23,1.1,0.0
20180120:0310,0.0,0.0,2.65,1.03,0.0
20180120:0410,0.0,0.0,2.32,0.83,0.0
20180120:0510,0.0,0.0,2.09,0.62,0.0
20180120:0610,0.0,0.0,1.99,0.48,0.0
20180120:0710,0.0,0.0,2.05,0.28,0.0
20180120:0810,175.5,5.29,1.9,0.07,0.0
20180120:0910,262.81,14.33,2.94,0.14,0.0
20180120:1010,281.64,21.77,5.7,0.62,0.0
20180120:1110,139.92,26.97,8.72,1.31,0.0
20180120:1210,122.1,29.35,11.05,2.07,0.0
20180120:1310,562.33,28.57,12.86,2.48,0.0
20180120:1410,498.93,24.74,13.89,2.69,0.0
20180120:1510,332.47,18.36,14.49,2.83,0.0
20180120:1610,122.4,10.07,13.86,2.21,0.0
20180120:1710,0.0,0.0,12.04,2.21,0.0
20180120:1810,0.0,0.0,9.92,2.21,0.0
20180120:1910,0.0,0.0,8.13,2.14,0.0
20180120:2010,0.0,0.0,6.8,2.14,0.0
20180120:2110,0.0,0.0,5.79,2.07,0.0
20180120:2210,0.0,0.0,5.09,2.0,0.0
20180120:2310,0.0,0.0,4.64,1.86,0.0
20180121:0010,0.0,0.0,4.3,1.79,0.0
20180121:0110,0.0,0.0,3.99,1.72,0.0
20180121:0210,0.0,0.0,3.88,1.59,0.0
20180121:0310,0.0,0.0,3.75,1.45,0.0
20180121:0410,0.0,0.0,3.93,1.31,0.0
20180121:0510,0.0,0.0,3.87,1.31,0.0
20180121:0610,0.0,0.0,4.05,1.17,0.0
20180121:0710,0.0,0.0,6.23,0.9,0.0
20180121:0810,200.36,5.41,6.4,0.76,0.0
20180121:0910,490.25,14.47,7.12,0.62,0.0
20180121:1010,721.4,21.93,9.05,0.76,0.0
20180121:1110,864.98,27.16,10.99,1.45,0.0
20180121:1210,920.92,29.57,12.32,1.66,0.0
20180121:1310,913.7,28.8,13.46,1.72,0.0
20180121:1410,809.03,24.97,14.21,1.45,0.0
